symbol,population,level,finite_count,invalid_count,pip_fallback_count,signed_p01,signed_p05,signed_p50,signed_p95,signed_p99,absolute_p50,absolute_p90,absolute_p95,absolute_p99,absolute_max,approximation
gbpusdrmp,geometric,1.272,199432183,0,0,-65.6874504705,-39.1408517002,2.05574793456,44.3939750897,71.8702869859,13.7314712927,41.8935863469,53.5711044522,80.7053576862,284.910297065,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,geometric,1.618,199432183,0,0,-64.3873952459,-38.0606413502,2.98754764344,45.6539336628,73.4681465438,13.8694055725,42.2299104071,53.8933357177,81.190802028,334.318602124,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,geometric,0.382,199432183,0,0,-68.0940546839,-41.2289524697,0.278493397846,42.1455771073,69.1917691023,13.6221122121,41.6431022534,53.2507998254,80.2228158432,244.26442128,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,geometric,0.5,199432183,0,0,-68.6407175729,-41.6431022534,-0.0389538533249,41.726430101,68.6407175729,13.6493700586,41.726430101,53.2507998254,80.2228158432,243.776624255,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,geometric,0.618,199432183,0,0,-69.053592863,-42.0614122215,-0.35399204209,41.3114516036,68.2303108873,13.6493700586,41.726430101,53.3573546759,80.3833416977,246.718086755,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,event_relevant_20,1.272,3005601,0,0,-5.94237624062,-3.88188923743,0.0896542831491,3.96819352368,6.03817068419,1.3949151805,3.92088328147,4.85597558821,6.79401541413,14.8151810004,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,event_relevant_20,1.618,3005601,0,0,-5.38791272964,-3.23624236016,0.931494937583,4.94413009044,6.97288563636,1.66986647956,4.32437658573,5.28127768682,7.24281657063,23.0907140196,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,event_relevant_20,0.382,3005601,0,0,-8.23131845106,-5.88327800582,-1.46933163633,2.78566839116,5.01379963217,1.95944980904,4.94413009044,6.02611243321,8.31400303439,36.7154886748,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,event_relevant_20,0.5,3005601,0,0,-8.95224402985,-6.34759572911,-1.72758880535,2.61305443865,4.86569239536,2.13532904194,5.29184552347,6.4499225385,8.98810675526,43.6024245632,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
gbpusdrmp,event_relevant_20,0.618,3005601,0,0,-9.75579296762,-6.84855815081,-1.98309296249,2.44135642675,4.72196023439,2.31771034971,5.66401541464,6.90353875965,9.77531430935,50.5538349638,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,geometric,1.272,196918205,0,0,-63.2393593581,-38.0606413502,2.04345650279,43.0825806456,69.1917691023,13.2461687678,40.7374059471,51.9886183468,77.0787747744,222.805078471,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,geometric,1.618,196918205,0,0,-62.1117931041,-37.0102426766,2.98158149886,44.3939750897,70.7300783845,13.4059999609,40.9824422592,52.3013309267,77.5424051474,230.968032532,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
usdcadrmp,geometric,0.382,196918205,0,0,-65.6874504705,-40.1713369751,0.251500585858,40.9006001583,66.6130763112,13.1406746946,40.4938347208,51.7811827217,76.7712289242,216.223434421,log_bins_gamma_2log1p001_zero_exact_representative_relative_error_le_0.1pct
