event_family,official_event_timestamp_utc,official_release_date,official_source_agency,official_reference_period,reason
FOMC,2010-12-14T13:15:00-06:00,2010-12-14,FEDERAL_RESERVE,FOMC 2010-12-14,no_pinned_oanda_candidate
CPI,2010-12-15T07:30:00-06:00,2010-12-15,BLS,November 2010,no_pinned_oanda_candidate
GDP,2010-12-22T07:30:00-06:00,2010-12-22,BEA,Q3 2010 Third,no_pinned_oanda_candidate
DURABLE_GOODS,2010-12-23T07:30:00-06:00,2010-12-23,CENSUS,November 2010,no_pinned_oanda_candidate
PCE,2010-12-23T07:30:00-06:00,2010-12-23,BEA,November 2010,no_pinned_oanda_candidate
EMPLOYMENT,2011-01-07T07:30:00-06:00,2011-01-07,BLS,December 2010,no_pinned_oanda_candidate
JOLTS,2011-01-11T09:00:00-06:00,2011-01-11,BLS,November 2010,no_pinned_oanda_candidate
PPI,2011-01-13T07:30:00-06:00,2011-01-13,BLS,December 2010,no_pinned_oanda_candidate
CPI,2011-01-14T07:30:00-06:00,2011-01-14,BLS,December 2010,no_pinned_oanda_candidate
RETAIL_SALES,2011-01-14T07:30:00-06:00,2011-01-14,CENSUS,December 2010,no_pinned_oanda_candidate
FOMC,2011-01-26T13:15:00-06:00,2011-01-26,FEDERAL_RESERVE,FOMC 2011-01-26,no_pinned_oanda_candidate
DURABLE_GOODS,2011-01-27T07:30:00-06:00,2011-01-27,CENSUS,December 2010,no_pinned_oanda_candidate
GDP,2011-01-28T07:30:00-06:00,2011-01-28,BEA,Q4 2010 Advance,no_pinned_oanda_candidate
PCE,2011-01-31T07:30:00-06:00,2011-01-31,BEA,December 2010,no_pinned_oanda_candidate
EMPLOYMENT,2011-02-04T07:30:00-06:00,2011-02-04,BLS,January 2011,no_pinned_oanda_candidate
JOLTS,2011-02-08T09:00:00-06:00,2011-02-08,BLS,December 2010,no_pinned_oanda_candidate
RETAIL_SALES,2011-02-15T07:30:00-06:00,2011-02-15,CENSUS,January 2011,no_pinned_oanda_candidate
PPI,2011-02-16T07:30:00-06:00,2011-02-16,BLS,January 2011,no_pinned_oanda_candidate
CPI,2011-02-17T07:30:00-06:00,2011-02-17,BLS,January 2011,no_pinned_oanda_candidate
DURABLE_GOODS,2011-02-24T07:30:00-06:00,2011-02-24,CENSUS,January 2011,no_pinned_oanda_candidate
GDP,2011-02-25T07:30:00-06:00,2011-02-25,BEA,Q4 2010 Second,no_pinned_oanda_candidate
PCE,2011-02-28T07:30:00-06:00,2011-02-28,BEA,January 2011,no_pinned_oanda_candidate
EMPLOYMENT,2011-03-04T07:30:00-06:00,2011-03-04,BLS,February 2011,no_pinned_oanda_candidate
RETAIL_SALES,2011-03-11T07:30:00-06:00,2011-03-11,CENSUS,February 2011,no_pinned_oanda_candidate
JOLTS,2011-03-11T09:00:00-06:00,2011-03-11,BLS,January 2011,no_pinned_oanda_candidate
FOMC,2011-03-15T13:15:00-05:00,2011-03-15,FEDERAL_RESERVE,FOMC 2011-03-15,no_pinned_oanda_candidate
PPI,2011-03-16T07:30:00-05:00,2011-03-16,BLS,February 2011,no_pinned_oanda_candidate
CPI,2011-03-17T07:30:00-05:00,2011-03-17,BLS,February 2011,no_pinned_oanda_candidate
DURABLE_GOODS,2011-03-24T07:30:00-05:00,2011-03-24,CENSUS,February 2011,no_pinned_oanda_candidate
GDP,2011-03-25T07:30:00-05:00,2011-03-25,BEA,Q4 2010 Third,no_pinned_oanda_candidate
PCE,2011-03-28T07:30:00-05:00,2011-03-28,BEA,February 2011,no_pinned_oanda_candidate
EMPLOYMENT,2011-04-01T07:30:00-05:00,2011-04-01,BLS,March 2011,no_pinned_oanda_candidate
RETAIL_SALES,2011-04-13T07:30:00-05:00,2011-04-13,CENSUS,March 2011,no_pinned_oanda_candidate
JOLTS,2011-04-13T09:00:00-05:00,2011-04-13,BLS,February 2011,no_pinned_oanda_candidate
PPI,2011-04-14T07:30:00-05:00,2011-04-14,BLS,March 2011,no_pinned_oanda_candidate
