economic_event_id,event_family,event_timestamp_utc,reference_period,oanda_period,period_status,period_detail,oanda_report_id,oanda_event_id,oanda_event,report_status,event_name_status,forecast_unit_status,forecast_unit_detail,actual_unit_status,actual_unit_detail,previous_unit_status,previous_unit_detail,forecast_raw,actual_raw,previous_raw
677,PPI,2023-10-11T07:30:00-05:00,September 2023,September,compatible_month,month=9,703,118370,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,5% m/m","0,7% m/m"
678,CPI,2023-10-12T07:30:00-05:00,September 2023,September,compatible_month,month=9,699,118310,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,4% m/m","0,6% m/m"
2595,RETAIL_SALES,2023-10-17T07:30:00-05:00,September 2023,September,compatible_month,month=9,696,118663,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,7% m/m","0,6% m/m"
2596,DURABLE_GOODS,2023-10-26T07:30:00-05:00,September 2023,September,compatible_month,month=9,59,118695,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"1,7% m/m","4,7% m/m","0,1% m/m"
1928,GDP,2023-10-26T07:30:00-05:00,Q3 2023 Advance,3Q,compatible_quarter,quarter=3,690,117080,GDP (Annualized) - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"4,3%","4,9%","2,1%"
1929,PCE,2023-10-27T07:30:00-05:00,September 2023,September,compatible_month,month=9,694,116957,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,5% m/m","0,7% m/m","0,4% m/m"
2242,FOMC,2023-11-01T13:00:00-05:00,FOMC 2023-11-01,November,compatible_fomc_month,official_date_month=11,82,116626,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,25-5,50%","5,25-5,50%","5,25-5,50%"
680,EMPLOYMENT,2023-11-03T07:30:00-05:00,October 2023,October,compatible_month,month=10,707,118560,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,180 k,150 k,336 k
681,CPI,2023-11-14T07:30:00-06:00,October 2023,October,compatible_month,month=10,699,118315,Consumer Price Index,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,"0,1% m/m",,"0,4% m/m"
682,PPI,2023-11-15T07:30:00-06:00,October 2023,October,compatible_month,month=10,703,118375,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,1% m/m","-0,5% m/m","0,5% m/m"
2597,RETAIL_SALES,2023-11-15T07:30:00-06:00,October 2023,October,compatible_month,month=10,696,118667,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,3% m/m","-0,1% m/m","0,7% m/m"
2598,DURABLE_GOODS,2023-11-22T07:30:00-06:00,October 2023,October,compatible_month,month=10,59,118696,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-3,1% m/m","-5,4% m/m","4,6% m/m"
1930,GDP,2023-11-29T07:30:00-06:00,Q3 2023 Second,3Q,compatible_quarter,quarter=3,690,117085,GDP (Annualized) - rev..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,5%,"5,2%","2,1%"
1931,PCE,2023-11-30T07:30:00-06:00,October 2023,October,compatible_month,month=10,694,116963,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,2% m/m","0,2% m/m","0,7% m/m"
683,JOLTS,2023-12-05T09:00:00-06:00,October 2023,October,compatible_month,month=10,1371,124631,JOLTS Job Openings,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"9,3 mn","8,73 mn","9,55 mn"
684,EMPLOYMENT,2023-12-08T07:30:00-06:00,November 2023,November,compatible_month,month=11,707,118568,Non-Farm Employment Change,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,180 k,199 k,150 k
685,CPI,2023-12-12T07:30:00-06:00,November 2023,November,compatible_month,month=11,699,118320,Consumer Price Index,standard_pinned_report,expected_event_name,missing,,consistent,,missing,,,"0,1% m/m",
686,PPI,2023-12-13T07:30:00-06:00,November 2023,November,compatible_month,month=11,703,118380,Producer Price Index,standard_pinned_report,expected_event_name,consistent,,missing,,consistent,,"0,1% m/m",,"-0,5% m/m"
2243,FOMC,2023-12-13T13:00:00-06:00,FOMC 2023-12-13,December,compatible_fomc_month,official_date_month=12,82,116627,FOMC Interest Rate Decision,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,25-5,50%","5,25-5,50%","5,25-5,50%"
2599,RETAIL_SALES,2023-12-14T07:30:00-06:00,November 2023,November,compatible_month,month=11,696,118671,Retail Sales,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"-0,1% m/m","0,3% m/m","-0,1% m/m"
1932,GDP,2023-12-21T07:30:00-06:00,Q3 2023 Third,3Q,compatible_quarter,quarter=3,690,117090,GDP (Annualized) - fin..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"5,2%","4,9%","2,1%"
2600,DURABLE_GOODS,2023-12-22T07:30:00-06:00,November 2023,November,compatible_month,month=11,59,118697,Durable Goods Orders - pre..,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"2,3% m/m","5,4% m/m","-5,4% m/m"
1933,PCE,2023-12-22T07:30:00-06:00,November 2023,November,compatible_month,month=11,694,116969,Personal Consumption Expenditures,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"0,3% m/m","0,2% m/m","0,2% m/m"
687,JOLTS,2024-01-03T09:00:00-06:00,November 2023,November,compatible_month,month=11,1371,127578,JOLTS Job Openings,standard_pinned_report,expected_event_name,consistent,,consistent,,consistent,,"8,85 mn","8,79 mn","8,73 mn"
