event_family,official_event_timestamp_utc,official_release_date,official_source_agency,original_unmatched_reason,classification,detail,cached_file,cached_file_exists,cached_total_rows,cached_us_rows,expected_pinned_report_ids,same_day_us_report_ids,same_day_us_event_names,pinned_report_rows,accepted_candidate_rows,rejected_pinned_rows,pinned_row_detail
FOMC,2010-09-21T13:15:00-05:00,2010-09-21,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-09-21.json,1,0,0,82,,,0,0,0,
DURABLE_GOODS,2010-09-24T07:30:00-05:00,2010-09-24,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-09-24.json,1,0,0,59,,,0,0,0,
GDP,2010-09-30T07:30:00-05:00,2010-09-30,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-09-30.json,1,0,0,690,,,0,0,0,
PCE,2010-10-01T07:30:00-05:00,2010-10-01,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-01.json,1,0,0,694,,,0,0,0,
JOLTS,2010-10-07T09:00:00-05:00,2010-10-07,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-07.json,1,0,0,1371,,,0,0,0,
EMPLOYMENT,2010-10-08T07:30:00-05:00,2010-10-08,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-08.json,1,0,0,707,,,0,0,0,
PPI,2010-10-14T07:30:00-05:00,2010-10-14,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-14.json,1,0,0,703,,,0,0,0,
CPI,2010-10-15T07:30:00-05:00,2010-10-15,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-15.json,1,0,0,699,,,0,0,0,
RETAIL_SALES,2010-10-15T07:30:00-05:00,2010-10-15,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-15.json,1,0,0,696,,,0,0,0,
DURABLE_GOODS,2010-10-27T07:30:00-05:00,2010-10-27,CENSUS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-27.json,1,0,0,59,,,0,0,0,
GDP,2010-10-29T07:30:00-05:00,2010-10-29,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-10-29.json,1,0,0,690,,,0,0,0,
PCE,2010-11-01T07:30:00-05:00,2010-11-01,BEA,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-01.json,1,0,0,694,,,0,0,0,
FOMC,2010-11-03T13:15:00-05:00,2010-11-03,FEDERAL_RESERVE,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-03.json,1,0,0,82,,,0,0,0,
EMPLOYMENT,2010-11-05T07:30:00-05:00,2010-11-05,BLS,no_pinned_oanda_candidate,cached_file_no_us_events,Cached file contains 0 total rows but no US rows.,EconomicCalendar/raw/oanda/daily/2010-11-05.json,1,0,0,707,,,0,0,0,
