event_family,myfxbook_source_family,myfxbook_event_id,release_date,myfxbook_actual,myfxbook_consensus,consensus_present,family_date_observation_count,classification,automatic_candidate_eligible,automatic_exclusion_reason,source,source_endpoint,source_years_back,source_capture_extracted_at,source_capture_filename,source_capture_sha256,source_series_ordinal,source_observation_ordinal
CPI,CPI_MOM,-265326876,2016-05-17,0.4,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,39
CPI,CPI_MOM,-265326876,2016-06-16,0.2,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,40
CPI,CPI_MOM,-265326876,2016-07-15,0.2,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,41
CPI,CPI_MOM,-265326876,2016-08-16,0.0,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,42
CPI,CPI_MOM,-265326876,2016-09-16,0.2,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,43
CPI,CPI_MOM,-265326876,2016-10-18,0.3,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,44
CPI,CPI_MOM,-265326876,2016-11-17,0.4,0.4,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,45
CPI,CPI_MOM,-265326876,2016-12-15,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,46
CPI,CPI_MOM,-265326876,2017-01-18,0.3,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,47
CPI,CPI_MOM,-265326876,2017-02-15,0.6,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,48
CPI,CPI_MOM,-265326876,2017-03-15,0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,49
CPI,CPI_MOM,-265326876,2017-04-14,-0.3,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,50
CPI,CPI_MOM,-265326876,2017-05-12,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,51
CPI,CPI_MOM,-265326876,2017-06-14,-0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,52
CPI,CPI_MOM,-265326876,2017-07-14,0.0,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,53
CPI,CPI_MOM,-265326876,2017-08-11,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,54
CPI,CPI_MOM,-265326876,2017-09-14,0.4,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,55
CPI,CPI_MOM,-265326876,2017-10-13,0.5,0.6,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,56
CPI,CPI_MOM,-265326876,2017-11-15,0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,57
CPI,CPI_MOM,-265326876,2017-12-13,0.4,0.4,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,58
CPI,CPI_MOM,-265326876,2018-01-12,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,59
CPI,CPI_MOM,-265326876,2018-02-14,0.5,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,60
CPI,CPI_MOM,-265326876,2018-03-13,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,61
CPI,CPI_MOM,-265326876,2018-04-11,-0.1,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,62
CPI,CPI_MOM,-265326876,2018-05-10,0.2,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,63
CPI,CPI_MOM,-265326876,2018-06-12,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,64
CPI,CPI_MOM,-265326876,2018-07-12,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,65
CPI,CPI_MOM,-265326876,2018-08-10,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,66
CPI,CPI_MOM,-265326876,2018-09-13,0.2,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,67
CPI,CPI_MOM,-265326876,2018-10-11,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,68
CPI,CPI_MOM,-265326876,2018-11-14,0.3,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,69
CPI,CPI_MOM,-265326876,2018-12-12,0.0,0.0,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,70
CPI,CPI_MOM,-265326876,2019-01-11,-0.1,-0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,71
CPI,CPI_MOM,-265326876,2019-02-13,0.0,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,72
CPI,CPI_MOM,-265326876,2019-03-12,0.2,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,73
CPI,CPI_MOM,-265326876,2019-04-10,0.4,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,74
CPI,CPI_MOM,-265326876,2019-05-10,0.3,0.4,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,75
CPI,CPI_MOM,-265326876,2019-06-12,0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,76
CPI,CPI_MOM,-265326876,2019-07-11,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,77
CPI,CPI_MOM,-265326876,2019-08-13,0.3,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,78
CPI,CPI_MOM,-265326876,2019-09-12,0.1,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,79
CPI,CPI_MOM,-265326876,2019-10-10,0.0,0.1,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,80
CPI,CPI_MOM,-265326876,2019-11-13,0.4,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,81
CPI,CPI_MOM,-265326876,2019-12-11,0.3,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,82
CPI,CPI_MOM,-265326876,2020-01-14,0.2,0.3,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,83
CPI,CPI_MOM,-265326876,2020-02-13,0.1,0.2,1,1,unique_populated,1,,myfxbook,calendar-chart-years-back.json,20,2026-08-26T15:48:54.341Z,EconomicCalendar/raw/myfxbook/myfxbook_consensus_history.json,1538055386838d8ec50ab9cce40153f69aa8bf841c2ae50f67751b2c465432cb,1,84
