agency	artifact_path	artifact_sha256	source_url	acquisition_status	parse_status	validation_status	collision_status	diagnostic
dol-eta	2011/120811.asp	afda9febab424ce49e96d9930b38b43bf06504dcaa49bbf554b41d80330b2a98	https://oui.doleta.gov/press/2011/120811.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2011/121511.asp	0193ec749579b1410040382d3a1cef73e31ccac28470a5e5202d547dbd87fab3	https://oui.doleta.gov/press/2011/121511.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2011/122211.asp	ee138c18edbdeba85416c8afa0a4b9088cafabfb9a4fcd560747637539b54d19	https://oui.doleta.gov/press/2011/122211.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2011/122911.asp	d02c89c3105d52a8a6cf97a9de7c14219acd0bc53c243542677c114d1808275f	https://oui.doleta.gov/press/2011/122911.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/010313.asp	fd1cd212d3523cce47ba2a58cb61219c6b7bc078532382251a31131e1bc1d728	https://oui.doleta.gov/press/2012/010313.asp	succeeded	parsed	validated	duplicate_evidence	economic_event_duplicate_authoritative_artifact_alias
dol-eta	2012/010512.asp	645f7c8defb0fa1e6df7f3e55a84dfb5f4b021d4a91149f90199dc78d73283b8	https://oui.doleta.gov/press/2012/010512.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/011212.asp	42f4ab0b7cc826ddc7d9d0ad8444718a7064e9bf013f73b7f794e442d46e7a78	https://oui.doleta.gov/press/2012/011212.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/011912.asp	51ab10297798e63fc6c88114dd9c644d53cc0a1a3e6ae97e766ef9e3b7c03bb9	https://oui.doleta.gov/press/2012/011912.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/012612.asp	c0e995eedaf4dc78e9df3a2a13db93685d71256cc29323154711b5460fcc7996	https://oui.doleta.gov/press/2012/012612.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/020212.asp	4bfbe62375d9107ad250e396eecb86b908a856656a9b9e7ff3e4391b043a3165	https://oui.doleta.gov/press/2012/020212.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
dol-eta	2012/020912.asp	50ace41416a09fd25e7a356aded2ac34719b515fdf4e8d10bee2d1689bd3540b	https://oui.doleta.gov/press/2012/020912.asp	succeeded	failed	not_run	not_run	ECONOMIC_EVENT_MANIFEST_LOAD_FAILED,agency=dol-eta,error=dol_eta_release_timezone_contradiction
